iata_code,ident,gps_code,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,type
UMU,SSUM,SSUM,Umuarama Airport,-23.7987003326416,-53.31380081176758,1558,SA,BR,BR-PR,Umuarama,small_airport
UMY,UKHS,UKHS,Sumy Airport,50.858299255371094,34.76250076293945,594,EU,UA,UA-59,Sumy,small_airport
UNA,SBTC,SBTC,Hotel Transamerica Airport,-15.355199813799999,-38.9990005493,20,SA,BR,BR-BA,Una,small_airport
UNC,SK-197,,Unguia Airport,8.033333,-77.083333,120,SA,CO,CO-CHO,Arquia,small_airport
UND,OAUZ,OAUZ,Konduz Airport,36.66510009765625,68.91079711914062,1457,AS,AF,AF-KDZ,,medium_airport
UNE,FXQN,FXQN,Qacha's Nek Airport,-30.1117000579834,28.671899795532227,6100,AF,LS,LS-H,Qacha's Nek,small_airport
UNG,AYKI,AYKI,Kiunga Airport,-6.1257100105285645,141.28199768066406,88,OC,PG,PG-WPD,Kiunga,small_airport
UNI,TVSU,TVSU,Union Island International Airport,12.60013484954834,-61.41194534301758,16,NA,VC,VC-06,Union Island,medium_airport
UNK,PAUN,PAUN,Unalakleet Airport,63.88840103,-160.798996,27,NA,US,US-AK,Unalakleet,small_airport
UNN,VTSR,VTSR,Ranong Airport,9.777620315551758,98.58550262451172,57,AS,TH,TH-85,,medium_airport
UNR,ZUMH,ZMUH,Ã–ndorkhaan Airport,47.30486,110.6092,3410,AS,MN,MN-039,Ã–ndorkhaan,small_airport
UNT,EGPW,EGPW,Unst Airport,60.74720001220703,-0.8538500070571899,,EU,GB,GB-SCT,Shetland Islands,small_airport
UNU,KUNU,KUNU,Dodge County Airport,43.42660141,-88.70320129,934,NA,US,US-WI,Juneau,small_airport
UOA,NTTX,NTTX,Mururoa Atoll Airport,-21.8586,-138.8202,7,OC,PF,PF-U-A,Mururoa Atoll,small_airport
UOL,WAMY,WAMY,Buol Airport,1.1027,121.4141,27,AS,ID,ID-ST,Buol-Celebes Island,small_airport
UOS,KUOS,KUOS,Franklin County Airport,35.205101013184,-85.898101806641,1953,NA,US,US-TN,Sewanee,small_airport
UOX,KUOX,KUOX,University Oxford Airport,34.384300231934,-89.536796569824,452,NA,US,US-MS,Oxford,medium_airport
UPB,MUPB,MUPB,Playa Baracoa Airport,23.032800674399997,-82.5793991089,102,NA,CU,CU-02,Havana,medium_airport
UPG,WAAA,WAAA,Hasanuddin International Airport,-5.061629772186279,119.55400085449219,47,AS,ID,ID-SN,Ujung Pandang-Celebes Island,large_airport
UPL,MRUP,MRUP,Upala Airport,10.8922,-85.016197,184,NA,CR,CR-A,Upala,medium_airport
UPN,MMPN,MMPN,Licenciado y General Ignacio Lopez Rayon Airport,19.396699905395508,-102.03900146484375,5258,NA,MX,MX-MIC,,medium_airport
UPP,PHUP,PHUP,Upolu Airport,20.265300750732422,-155.86000061035156,96,NA,US,US-HI,Hawi,medium_airport
UPR,AYUR,AYUR,Upiara Airport,-8.5411,142.6503,52,OC,PG,PG-WPD,Upiara,small_airport
